W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
3.144482E+00,1.432257E+00,1.229943E+00,1.057795E+00,1.900000E-01,8.500000E-01,1.500000E-01,3.400000E-02,3.400000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.049658E+00,1.900000E-01,7.800000E-01,1.700000E-01,3.120000E-02,3.120000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.043564E+00,1.900000E-01,9.700000E-01,1.600000E-01,3.880000E-02,3.880000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.038824E+00,1.900000E-01,1.070000E+00,1.700000E-01,4.280000E-02,4.280000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.118749E+00,2.100000E-01,1.700000E-01,1.200000E-01,6.800000E-03,6.800000E-03,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.092495E+00,2.100000E-01,8.200000E-01,2.300000E-01,3.280000E-02,3.280000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.075890E+00,2.100000E-01,7.200000E-01,1.700000E-01,2.880000E-02,2.880000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.063471E+00,2.100000E-01,4.800000E-01,1.400000E-01,1.920000E-02,1.920000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.054605E+00,2.100000E-01,7.300000E-01,1.900000E-01,2.920000E-02,2.920000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.047948E+00,2.100000E-01,8.300000E-01,1.600000E-01,3.320000E-02,3.320000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.042761E+00,2.100000E-01,1.000000E+00,1.700000E-01,4.000000E-02,4.000000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.128521E+00,2.300000E-01,8.500000E-01,4.000000E-01,3.400000E-02,3.400000E-02,ds/dt,mb/GeV2,desy094
