CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
2.215	-0.5	0.0372	0.0058
2.215	-0.4	0.0468	0.0059
2.215	-0.3	0.0406	0.0051
2.215	-0.2	0.043	0.005
2.215	-0.1	0.0502	0.0052
2.215	0	0.052	0.0048
2.215	0.1	0.0651	0.0051
2.215	0.2	0.0776	0.0056
2.215	0.3	0.103	0.0066
2.225	0.37	0.1271	0.0103
2.225	0.42	0.1378	0.0117
2.225	0.47	0.1866	0.0138
2.225	0.53	0.2156	0.0151
2.225	0.57	0.2683	0.0182
2.225	0.62	0.2687	0.0181
2.225	0.67	0.3094	0.0213
2.225	0.72	0.3789	0.0275
2.225	0.78	0.4709	0.0342
2.225	0.82	0.5594	0.0448
2.225	0.88	0.7191	0.0538
2.225	0.93	1.6558	0.4824
2.225	-0.8	0.0446	0.0121
2.225	-0.7	0.0373	0.0068
2.225	-0.6	0.0357	0.0057
2.225	-0.5	0.0371	0.0058
2.225	-0.4	0.0344	0.0051
2.225	-0.3	0.0485	0.0056
2.225	-0.2	0.0489	0.0053
2.225	-0.1	0.0518	0.005
2.225	0	0.0505	0.0047
2.225	0.1	0.063	0.005
2.225	0.2	0.0763	0.0056
2.225	0.3	0.11	0.0069
2.235	0.37	0.136	0.0106
2.235	0.42	0.1494	0.012
2.235	0.47	0.1747	0.0132
2.235	0.53	0.2175	0.0151
2.235	0.57	0.2551	0.0164
2.235	0.62	0.2823	0.0189
2.235	0.67	0.3936	0.0258
2.235	0.72	0.4099	0.029
2.235	0.78	0.4782	0.0354
2.235	0.82	0.5751	0.0408
2.235	0.88	0.7665	0.0536
2.235	0.93	0.8788	0.2556
2.235	-0.8	0.0201	0.0069
2.235	-0.7	0.037	0.0067
2.235	-0.6	0.0392	0.006
2.235	-0.5	0.0373	0.0056
2.235	-0.4	0.048	0.0059
2.235	-0.3	0.043	0.0052
2.235	-0.2	0.05	0.0053
2.235	-0.1	0.0463	0.0047
2.235	0	0.0512	0.0048
2.235	0.1	0.0611	0.005
2.235	0.2	0.0849	0.0059
2.235	0.3	0.1049	0.0065
2.245	0.37	0.1285	0.0114
2.245	0.42	0.1552	0.0126
2.245	0.47	0.177	0.0133
2.245	0.53	0.2373	0.0168
2.245	0.57	0.2402	0.0165
2.245	0.62	0.3105	0.0215
2.245	0.67	0.3361	0.0238
2.245	0.72	0.4095	0.0309
2.245	0.78	0.4653	0.0356
2.245	0.82	0.5587	0.0399
2.245	0.88	0.7958	0.0517
2.245	0.93	0.7958	0.2147
2.245	-0.8	0.0219	0.0069
2.245	-0.7	0.0251	0.0056
2.245	-0.6	0.0441	0.0066
2.245	-0.5	0.0435	0.0063
2.245	-0.4	0.0405	0.0056
2.245	-0.3	0.039	0.0051
2.245	-0.2	0.0482	0.0057
2.245	-0.1	0.0463	0.0048
2.245	0	0.0573	0.0053
2.245	0.1	0.0677	0.0054
2.245	0.2	0.0829	0.0059
2.245	0.3	0.1153	0.0071
2.255	0.37	0.1498	0.0115
2.255	0.42	0.1843	0.0132
2.255	0.47	0.2087	0.0144
2.255	0.53	0.2198	0.015
2.255	0.57	0.2752	0.0186
2.255	0.62	0.3136	0.022
2.255	0.67	0.3549	0.0264
2.255	0.72	0.4349	0.0334
2.255	0.78	0.513	0.0366
2.255	0.82	0.568	0.0412
2.255	0.88	0.7854	0.0545
2.255	0.92	0.8673	0.1185
2.255	-0.8	0.0395	0.0094
2.255	-0.7	0.049	0.0076
2.255	-0.6	0.054	0.0068
2.255	-0.5	0.049	0.0063
2.255	-0.4	0.056	0.0065
2.255	-0.3	0.0527	0.0055
2.255	-0.2	0.0539	0.0056
2.255	-0.1	0.0531	0.0049
2.255	0	0.0597	0.0051
2.255	0.1	0.0656	0.0051
2.255	0.2	0.0897	0.0061
2.255	0.3	0.1239	0.0073
2.265	0.37	0.1517	0.012
2.265	0.42	0.1686	0.0131
2.265	0.47	0.1873	0.0143
2.265	0.53	0.2223	0.0162
2.265	0.57	0.2731	0.0194
2.265	0.62	0.3298	0.0231
2.265	0.67	0.4318	0.0297
2.265	0.72	0.4111	0.0304
2.265	0.78	0.5147	0.035
2.265	0.82	0.5557	0.0394
2.265	0.88	0.728	0.0516
2.265	0.93	0.6331	0.1333
2.265	-0.8	0.0292	0.0074
2.265	-0.7	0.0382	0.0065
2.265	-0.6	0.0473	0.0066
2.265	-0.5	0.0468	0.0062
2.265	-0.4	0.046	0.0058
2.265	-0.3	0.0456	0.0051
2.265	-0.2	0.0521	0.0055
2.265	-0.1	0.0492	0.0053
2.265	0	0.0485	0.0045
2.265	0.1	0.072	0.0056
2.265	0.2	0.082	0.0058
2.265	0.3	0.1176	0.0072
2.275	0.37	0.1301	0.0106
2.275	0.42	0.1549	0.0125
2.275	0.47	0.175	0.0134
2.275	0.53	0.2318	0.0165
2.275	0.57	0.2885	0.0201
2.275	0.62	0.2808	0.0199
2.275	0.67	0.3657	0.0263
2.275	0.72	0.4186	0.0293
2.275	0.78	0.5032	0.0346
2.275	0.82	0.547	0.039
2.275	0.88	0.7327	0.0501
2.275	0.92	1.0193	0.199
2.275	-0.8	0.0444	0.0102
2.275	-0.7	0.0474	0.0074
2.275	-0.6	0.0507	0.0067
2.275	-0.5	0.0539	0.0065
2.275	-0.4	0.0543	0.0063
